denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Advent Christian Church,0-0-0,444,127,317,29430,12572,16858,66,99,53,11378,16717,1335,25927,779,2724,410,385,2310000,6000,54,121667,125,119,1632600,13719,37,114026,285,266,677400,2547,17,7641,379,536192,409241,112292,14659,1415,123,373651,287273,74378,12000,3038,256,162541,121968,37914,2659,635,111,395150,3560,28,30607,304,2773,18806,62,116,1386,9760,84,188,1387,9046,48,,444,6,338,5,164,22,142,27,NA,28,83,81,NA,,5,3,4950,1650,NA,NA,1,1,4000,NA,NA,NA,4,2,950,475,NA,NA,,4,240,25,215,NA,60,1,100,NA,100,NA,3,140,25,115,47,,NA,NA,NA,NA,NA,4,40,94,24,1,4,15,NA,3,16,79,26
Seventh-day Adventist Denomination ,0-0-1,1981,1079,902,110998,72378,38620,56,67,43,35030,72970,2998,96438,2665,11895,1399,1362,8477999,6220,261,908352,760,736,6933991,9421,209,863359,639,627,1544008,2463,52,44993,1849,6998988,1291018,5647948,60022,3785,1012,5139450,1092478,3993883,53089,5079,837,1859538,198540,1654065,6933,2222,36,182600,5072,9,34100,1383,14972,81067,59,781,9825,55762,71,602,5147,25305,42,,1981,93,88,5,5133,5052,81,55,57,16,1272,3931,30,,81,78,789400,10121,33,155215,77,74,785100,10609,33,155215,4,4,4300,1075,NA,NA,,85,261975,94525,167450,NA,3082,80,260938,94294,166644,3262,5,1037,231,806,207,,6,2700,4533,2,5700,67,575,3402,51,63,557,3321,53,4,18,81,20
Church of God (Adventist),0-0-2,58,13,46,1686,244,1442,29,19,32,712,925,49,1593,43,50,12,12,25850,2154,3,975,2,2,6500,3250,1,400,10,10,19350,1935,2,575,39,13887,4805,9082,NA,356,9,2216,986,1230,NA,246,30,11671,3819,7852,NA,389,NA,NA,NA,NA,NA,23,126,685,30,8,45,183,23,15,81,502,33,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Life and Advent Union,0-0-3,7,5,2,535,381,154,76,76,77,221,314,NA,529,6,NA,7,7,91000,13000,4,10500,5,5,80000,16000,3,10100,2,2,11000,5500,1,400,6,19861,13894,5967,NA,3310,5,18192,12382,5810,NA,3638,1,1669,1512,157,NA,NA,NA,NA,NA,NA,NA,7,76,344,49,5,64,291,58,2,12,53,27,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Churches of God in Jesus Christ,0-0-4,86,33,53,3528,1303,2225,41,39,42,1339,1989,200,2980,47,501,54,52,164600,3165,6,13700,18,18,98700,5483,6,13700,36,34,65900,1938,NA,NA,63,41935,33587,8348,NA,666,26,24851,21488,3363,NA,956,37,17084,12099,4985,NA,462,2,6500,3250,NA,NA,42,295,1877,45,16,112,732,46,26,183,1145,44,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Orthodox Church,2-0-0,13,13,NA,1568,1568,NA,121,121,NA,689,879,NA,1192,376,NA,2,2,30000,15000,2,9000,2,2,30000,15000,2,9000,NA,NA,NA,NA,NA,NA,13,19368,18211,1157,NA,1490,13,19368,18211,1157,NA,1490,NA,NA,NA,NA,NA,NA,1,5000,NA,1,2000,11,49,445,40,11,49,445,40,NA,NA,NA,NA,,13,13,13,NA,1568,1568,NA,121,121,NA,689,879,NA,,2,2,30000,15000,2,9000,2,2,30000,15000,2,9000,NA,NA,NA,NA,NA,NA,,13,19368,18211,1157,NA,1490,13,19368,18211,1157,1490,NA,NA,NA,NA,NA,,1,5000,NA,1,2000,11,49,445,40,11,49,445,40,NA,NA,NA,NA
African Orthodox Church of New York,,3,2,NA,717,717,NA,329,239,NA,262,355,100,501,116,100,1,1,50000,50000,1,12100,1,1,50000,NA,1,12100,NA,NA,NA,NA,NA,NA,2,18900,15200,3700,NA,9450,2,18900,15200,3700,NA,9450,NA,NA,NA,NA,NA,NA,1,15000,NA,1,11000,3,26,220,73,3,26,220,73,NA,NA,NA,NA,,3,3,3,NA,717,717,NA,239,239,NA,262,355,100,,1,1,50000,NA,1,12100,1,1,50000,NA,1,12000,NA,NA,NA,NA,NA,NA,,2,18900,15200,3700,NA,9450,2,18900,15200,3700,9450,NA,NA,NA,NA,NA,,1,15000,NA,1,11000,3,26,220,73,3,26,220,73,NA,NA,NA,NA
American Ethical Union,1-8-5,6,6,NA,3801,3801,NA,634,634,NA,1813,1988,NA,3801,NA,NA,5,5,1157821,231564,2,212000,5,5,1157821,231564,2,2120000,NA,NA,NA,NA,NA,NA,6,256141,152902,103239,NA,42690,6,256141,152902,103239,NA,42690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,47,416,83,5,47,416,83,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Rescue Workers,0-0-5,97,97,NA,1989,1989,NA,21,21,NA,886,1040,63,1107,489,393,3,3,13800,4600,1,1600,3,3,13800,4600,1,1600,NA,NA,NA,NA,NA,NA,92,135214,82838,49282,3094,1470,92,135214,82838,49282,3094,1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,90,1091,22,50,90,1091,22,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolic Overcoming Holy Church of God,2-2-5,16,8,8,1047,581,466,65,73,58,352,695,0,1047,0,NA,10,10,16950,1695,5,1975,6,6,12100,2017,2,1600,4,4,4850,1213,3,375,16,17198,15010,2188,NA,1075,8,11187,9935,1252,NA,1398,8,6011,5075,936,NA,751,1,3000,NA,NA,NA,15,67,1068,71,7,38,583,83,8,29,485,61,,16,16,8,8,1047,581,466,65,73,58,352,695,NA,,10,10,16950,1695,5,1975,6,6,12100,2017,2,1600,4,4,4850,1213,3,375,,16,17198,15010,2188,NA,1075,8,11187,9935,1252,1398,8,6011,5075,936,751,,1,3000,NA,NA,NA,15,67,1068,71,7,38,583,83,8,29,485,61
